X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2581094977836,40.1463065502128,1,Steel,Traffic Signal,Cobra,HPS,250,SL006,1267212.311475,1005283.201,6,2005/01/01 06:00:00+00,1,No,,Black,,GE,No,,AERIAL,,
-88.2396714800873,40.1154633696793,2,Aluminum,Truss Arm,Cobra,LED,,SL060,1255992.918275,1010449.98265,4,2017/01/01 06:00:00+00,4,No,,Black,,GE,Yes,,AERIAL,,
-88.2385451799472,40.1162425867735,3,Cast Aluminum,Other,Globe,IND,85,SL048,1256265.682725,1010762.002675,1,,7,Yes,,Black,Sternberg,QL,Yes,,AERIAL,,10/12/18
-88.236535503852,40.1162522238457,6,Aluminum,Combo,Cobra,Other,250/85,SL048,1256269.251825,1011333.168,6,,11,No,,Black,,GE-HPS/QL-IND,Yes,,AERIAL,,10/12/18
-88.2605960564145,40.1191761752662,7,Cast Iron,Other,Globe,IND,55,SL008,1257328.53399999,1004593.931,7,,14,No,,Green,,QL,Yes,,AERIAL,,
-88.2603266677127,40.1189186614994,8,Cast Iron,Other,Globe,IND,55,SL008,1257237.4956,1004666.847,7,,15,No,,Green,,QL,Yes,,AERIAL,,
-88.2603235496103,40.1186455192082,9,Cast Iron,Other,Globe,IND,55,SL008,1257136.53675,1004669.607,7,,16,No,,Green,,QL,Yes,,AERIAL,,
-88.2622801169961,40.1054973167551,10,Cast Aluminum,Other,Globe,HPS,100,SL084,1252345.1626,1004126.934,1,,19,No,,Green,,GE,Yes,,AERIAL,,
-88.2289745065211,40.1183894556199,11,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.7511,1013437.815,4,,22,No,,Natural,,GE,No,,AERIAL,,
-88.2295153758913,40.1183901461477,12,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.82545,1013286.548,4,,23,No,,Natural,,GE,No,,AERIAL,,
-88.230284682817,40.1183928019461,13,Aluminum,Davit,Cobra,HPS,100,SL046,1257051.54265,1013071.394,4,,24,No,,Natural,,GE,No,,AERIAL,,
-88.2303758359767,40.1184498420681,14,Aluminum,Davit,Cobra,HPS,100,SL046,1257072.29194999,1013045.877,4,,25,No,,Natural,,GE,No,,AERIAL,,
-88.2303893513527,40.1179698305505,15,Aluminum,Davit,Cobra,HPS,100,SL046,1256897.426925,1013042.299,4,,26,No,,Natural,,GE,No,,AERIAL,,
-88.2303848852697,40.1174930569641,16,Aluminum,Davit,Cobra,HPS,100,SL046,1256723.746925,1013043.75,4,,27,No,,Natural,,GE,No,,AERIAL,,
-88.230601802647,40.118389014646,17,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.06039999,1012982.706,4,,28,No,,Natural,,GE,No,,AERIAL,,
-88.2438417150046,40.119164173796,18,Cast Aluminum,Other,Globe,HPS,100,SL025,1257328.4366,1009279.594475,1,,30,Yes,,Black,,GE,Yes,,AERIAL,,
-88.2464136455885,40.1183253632084,19,Aluminum,Pipe Arm,Cobra,HPS,250,SL025,1257022.921,1008565.101825,4,,31,No,,Natural,,GE,No,,AERIAL,,
-88.243930936127,40.1202705175486,20,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257731.43545,1009254.237,4,,32,No,,Natural,,GE,No,,AERIAL,,
-88.2442434749385,40.1201190924584,21,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257676.18584999,1009166.886,4,,33,No,,Natural,,GE,No,,AERIAL,,
-88.2450636653288,40.1202815166002,22,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257734.64805,1008935.67,4,,34,No,,Natural,,GE,No,,AERIAL,,
-88.2445631080698,40.1202648795686,23,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257729.204475,1009077.443,4,,35,No,,Natural,,GE,No,,AERIAL,,
-88.2452763936673,40.1203112820326,24,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257745.90967499,1008876.867,4,,36,No,,Natural,,GE,No,,AERIAL,,
-88.2453249873205,40.1201374535724,25,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257682.5733,1008864.419,4,,37,No,,Natural,,GE,No,,AERIAL,,
-88.2451003727131,40.1196534658203,26,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257506.326325,1008927.411,4,,38,No,,Natural,,GE,No,,AERIAL,,
-88.2451015028077,40.119320990611,27,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257385.210175,1008927.215,4,,39,No,,Natural,,GE,No,,AERIAL,,
-88.2432852837809,40.1196668480622,28,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257511.7101,1009435.025375,6,,43,Yes,A,Black,,GE,No,,AERIAL,,
