X,Y,OBJECTID,MeterLoc,HOURS,RATE,DAYS,WRM,ZONEID,ZONEDESC,Notes,FACILITYID,Active,BlockNumber,BlockStreet,Enforcement_Zone,Enforcement_Time,Enforcement_Days,MAX_TIME,NO_MAX,NO_CHARGE_1,NO_PARKING,NO_CHARGE_2
-88.2354683722581,40.1124206233198,1,624,14,0.75,6,63,CP75,CAMPUS $.75/HR,,1,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2353753112311,40.1151938371055,2,617,14,0.75,6,63,CP75,CAMPUS $.75/HR,,2,Yes,200,200 S Third St,2,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-88.2354680653497,40.1122861165426,3,626,14,0.75,6,63,CP75,CAMPUS $.75/HR,,3,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2354660769888,40.1121765457434,4,628,14,0.75,6,63,CP75,CAMPUS $.75/HR,,4,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2354629791001,40.1120660742803,5,630,14,0.75,6,63,CP75,CAMPUS $.75/HR,,5,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2354640977228,40.1119321514037,6,632,14,0.75,6,63,CP75,CAMPUS $.75/HR,,6,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2354667506245,40.1118039469874,7,634,14,0.75,6,63,CP75,CAMPUS $.75/HR,,7,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2354644619926,40.1116894666187,8,636,14,0.75,6,63,CP75,CAMPUS $.75/HR,,8,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.23497121042,40.1054403952124,9,0334,14,0.75,6,63,CP75,CAMPUS $.75/HR,,9,Yes,300,300 E Armory Ave,5,,,10 hr max,,No Charge 9PM - 7AM,,
-88.2382794850698,40.105419353831,10,0338,14,0.75,6,63,CP75,CAMPUS $.75/HR,,10,Yes,100,100 E Armory Ave,5,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-88.2386287787743,40.1082521465348,11,0223,14,0.75,6,63,CP75,CAMPUS $.75/HR,,11,Yes,800,800 S First St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-88.2386321303952,40.1086179698279,12,0226,14,0.75,6,63,CP75,CAMPUS $.75/HR,,12,Yes,800,800 S First St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-88.2386300608226,40.1087325222858,13,0228,14,0.75,6,63,CP75,CAMPUS $.75/HR,,13,Yes,800,800 S First St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-88.2370764204618,40.1099854082332,14,9201,14,0.75,6,63,CP75,CAMPUS $.75/HR,,14,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.2370747982132,40.1098781027938,15,9203,14,0.75,6,63,CP75,CAMPUS $.75/HR,,15,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-88.237074165269,40.1094425995183,16,9206,14,0.75,6,63,CP75,CAMPUS $.75/HR,,16,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
